ID,PCE_max(%),Jsc(mA/cm2),FF,Voc(V),(-)HOMO_acceptor(eV),(-)LUMO_acceptor(eV),Eg_acceptor(eV),acceptor(SMILES),M_acceptor(g/mol),(-)L2HOMO_donor(eV),(-)LUMO_donor(eV),Eg_donor(eV),donor(SMILES)
324,7.31,12.69,0.576,1,5.37,3.73,1.64,O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C5=C(C(C=C(CCCCCCCCCCCC)C6=C7C(CCCCCCCCCCCC)=CC8=C6SC9=C8C(C%10=CC=C(CCCCCC)C=C%10)(C%11=CC=C(CCCCCC)C=C%11)C%12=C9SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)\C#N)=O)=C%12)=C7S5)C4(C%15=CC=C(CCCCCC)C=C%15)C%16=CC=C(CCCCCC)C=C%16,1814.66,5.36,3.54,1.82,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6
325,7.52,15.19,0.563,0.88,5.43,3.94,1.49,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C5=C(C(C=C(CCCCCCCCCCCC)C6=C7C(CCCCCCCCCCCC)=CC8=C6SC9=C8C(C%10=CC=C(CCCCCC)C=C%10)(C%11=CC=C(CCCCCC)C=C%11)C%12=C9SC(/C=C%13C(C(C=C(F)C(F)=C%14)=C%14C\%13=C(C#N)\C#N)=O)=C%12)=C7S5)C4(C%15=CC=C(CCCCCC)C=C%15)C%16=CC=C(CCCCCC)C=C%16,1886.63,5.36,3.54,1.82,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6
326,9.6,16.5,0.66,0.88,5.38,3.93,1.45,O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C(SC5=C6SC7=C5N(C(CCCCCCCC)CCCCCCCC)C8=C7SC(/C=C9C(C(C=CC=C%10)=C%10C\9=C(C#N)\C#N)=O)=C8)=C6N4C(CCCCCCCC)CCCCCCCC,1215.75,5.33,3.53,1.8,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6
327,13.2,23.2,0.73,0.78,5.52,4.11,1.41,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C(SC5=C6SC7=C5N(C(CCCCCCCC)CCCCCCCC)C8=C7SC(/C=C9C(C(C=C(F)C(F)=C%10)=C%10C\9=C(C#N)\C#N)=O)=C8)=C6N4C(CCCCCCCC)CCCCCCCC,1287.71,5.33,3.53,1.8,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6
328,2.31,7.03,0.313,1.033,6.05,3.71,2.34,O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C(C3=C4C(C5=CC6=C([C@H]7C(C=CC=C8)=C8[C@@H]6C9=C7C=CC=C9)C=C5%10)=CC1C32)C%11=CC=C%12C%13=C%11C4=C%10C=C%13C(N(C(CCCCC)CCCCC)C%12=O)=O,951.26,5.2,3.59,1.61,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1
329,6.15,12.8,0.492,0.96,6.09,3.73,2.36,O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C(C3=C4C(C5=CC6=C([C@H]7C(C=C(C8=C(C9=C%10C=C(C%11=O)C%12C9=C%13C=CC%12C(N%11C(CCCCC)CCCCC)=O)C(C%13=CC=C%14C(N(C(CCCCC)CCCCC)C%15=O)=O)=C%14C%15=C8)C%10=C%16)=C%16[C@@H]6C%17=C7C=CC=C%17)C=C5%18)=CC1C32)C%19=CC=C%20C%21=C%19C4=C%18C=C%21C(N(C(CCCCC)CCCCC)C%20=O)=O,1648.2,5.2,3.59,1.61,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1
330,5.26,12.74,0.446,0.902,6.1,3.73,2.37,O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C(C3=C4C(C5=CC6=C([C@H]7C(C=C(C8=C(C9=C%10C=C(C%11=O)C%12C9=C%13C=CC%12C(N%11C(CCCCC)CCCCC)=O)C(C%13=CC=C%14C(N(C(CCCCC)CCCCC)C%15=O)=O)=C%14C%15=C8)C%10=C%16)=C%16[C@@H]6C%17=C7C=C(C(C=C%18C(N(C(CCCCC)CCCCC)C%19=O)=O)=C%20C%21=C%18C%19=CC=C%21C%22=CC=C(C%23=O)C%24C%22=C%20C%25=CC%24C(N%23C(CCCCC)CCCCC)=O)C%25=C%17)C=C5%26)=CC1C32)C%27=CC=C%28C%29=C%27C4=C%26C=C%29C(N(C(CCCCC)CCCCC)C%28=O)=O,2345.13,5.2,3.59,1.61,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1
331,0.1,0.99,0.35,0.42,5.9,3.6,2.3,CCCCC(CC)CC(C1=C2C=CC=C1)C3=C2C=CC(C4=CC=C(/C=C(C#N)/C#N)C5=NSN=C45)=C3,488.65,5,3.1,1.9,CC1=CC(CCCCCC)=C(C)S1
332,0.4,2.3,0.36,0.48,5.7,3.6,2.1,CCCCC(CC)CN1C2=C(SC=C2)C3=C1C=C(C4=CC=C(/C=C(C#N)/C#N)C5=NSN=C45)S3,501.69,5,3.1,1.9,CC1=CC(CCCCCC)=C(C)S1
333,0.3,1.4,0.4,0.58,5.7,3.6,2.1,CCCCCCN1C2=C(SC=C2)C3=C1C=C(C4=CC=C(/C=C(C#N)/C#N)C5=NSN=C45)S3,473.63,5,3.1,1.9,CC1=CC(CCCCCC)=C(C)S1
334,1.5,5.88,0.46,0.54,5.7,3.7,2,CCC[Si]1(CCC)C2=C(SC(C3=CC=C(F)C=C3)=C2)C4=C1C=C(C5=CC=C(/C=C(C#N)/C#N)C6=NSN=C56)S4,582.81,5,3.1,1.9,CC1=CC(CCCCCC)=C(C)S1
335,7.66,14.2,0.64,0.84,5.67,3.85,1.82,O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC4=C(C(C=C(OC5(C6=CC=C(CCCCCC)C=C6)C7=CC=C(CCCCCC)C=C7)C(C8=C5C=C(/C=C9C(C(C=CC=C%10)=C%10C\9=C(C#N)\C#N)=O)S8)=C%11)=C%11OC4(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)S3,1347.79,5.36,3.54,1.82,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6
336,3.28,5.45,0.59,1.02,5.76,3.56,2.2,CCN(C/1=O)C(SC1=C\C2=CC=C(C3=CC(C4(C(C=CC=C5)=C5C6=C4C=CC=C6)C7C8C=CC(C(C9=NN(CCCCCCCC)N=C%109)=CC=C%10/C=C%11SC(N(C/%11=O)CC)=S)=C7)=C8C=C3)C%12=NN(CCCCCCCC)N=C2%12)=S,1119.54,5,3.1,1.9,CC1=CC(CCCCCC)=C(C)S1
337,0.57,2.09,0.3,0.91,5.7,3.57,2.13,CCN(C/1=O)/C(SC1=C\C2=CC=C(C3=CC(C4(C(C=CC=C5)=C5C6=C4C=CC=C6)C7C8C=CC(C(C9=NN(CCCCCCCC)N=C%109)=CC=C%10/C=C%11S/C(N(C/%11=O)CC)=C(C#N)\C#N)=C7)=C8C=C3)C%12=NN(CCCCCCCC)N=C2%12)=C(C#N)/C#N,1183.51,5,3.1,1.9,CC1=CC(CCCCCC)=C(C)S1
338,0.2,1.07,0.4,0.47,6.08,3.81,2.27,CCCCCCCCN1N=C2C(/C=C(C#N)/C#N)=CC=C(C3=CC(C4(C(C=CC=C5)=C5C6=C4C=CC=C6)C7C8C=CC(C(C9=NN(CCCCCCCC)N=C%109)=CC=C%10/C=C(C#N)\C#N)=C7)=C8C=C3)C2=N1,929.19,5,3.1,1.9,CC1=CC(CCCCCC)=C(C)S1
339,8.16,13.53,0.656,0.92,5.47,3.78,1.69,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C(S3)=CC4=C3C5=C([Si]4(CCCCCC)CCCCCC)C=C6C([Si](CCCCCC)(CCCCCC)C7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)/C#N)=O)=C7)=C5,1043.55,5.33,3.53,1.8,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6
340,8.83,16.69,0.654,0.81,5.53,3.91,1.62,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C(S3)=CC4=C3C5=C(C4(CCCCCC)CCCCCC)C=C6C(C(CCCCCC)(CCCCCC)C7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)/C#N)=O)=C7)=C5,1011.4,5.33,3.53,1.8,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6
341,4.69,10.06,0.536,0.87,5.6,3.9,1.7,CC(C)(C1=CC=C(O[B@-]23N4C5=C6C(C=C(C=C6)C7=C(C=C(S7)/C=C8C(C9=C(C\8=C(C#N)/C#N)C=CC=C9)=O)CCCCCCCC)=C4N=C%10C%11=C(C(N%103)=NC%12=[N+]2C(C%13=C%12C=C(C=C%13)C%14=C(C=C(S%14)/C=C%15C(C%16=C(C\%15=C(C#N)/C#N)C=CC=C%16)=O)CCCCCCCC)=N5)C=C(C=C%11)C%17=C(C=C(S%17)/C=C%18C(C%19=C(C\%18=C(C#N)/C#N)C=CC=C%19)=O)CCCCCCCC)C=C1)C,1740,5.33,3.53,1.8,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6
342,3.8,10.51,0.47,0.77,5.63,4.06,1.57,CC(C)(C1=CC=C(O[B@-]23N4C5=C6C(C=C(C=C6)C7=C(C=C(S7)/C=C8C(C9=C(C\8=C(C#N)/C#N)C=C(F)C(F)=C9)=O)CCCCCCCC)=C4N=C%10C%11=C(C(N%103)=NC%12=[N+]2C(C%13=C%12C=C(C=C%13)C%14=C(C=C(S%14)/C=C%15C(C%16=C(C\%15=C(C#N)/C#N)C=C(F)C(F)=C%16)=O)CCCCCCCC)=N5)C=C(C=C%11)C%17=C(C=C(S%17)/C=C%18C(C%19=C(C\%18=C(C#N)/C#N)C=C(F)C(F)=C%19)=O)CCCCCCCC)C=C1)C,1847.94,5.33,3.53,1.8,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6
343,3.2,9,0.46,0.77,5.9,3.8,2.1,O=C(N(C(CCCCCCC)CCCCCCC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=CC=C6C7=C5C4=CC=C7C(N(N8C(C9=CC=C%10C%11=C9C(C8=O)=CC=C%11C%12=CC=C(C%13=O)C%14C%12=C%10C=CC%14C(N%13C(CCCCCCC)CCCCCCC)=O)=O)C6=O)=O,1203.53,5.11,3.25,1.86,O=C(C1=CC2=C(SC(C3=CC4=C(S3)C(C5=CC=C(S5)CC(CCCC)CC)=C6C=C(SC6=C4C7=CC=C(S7)CC(CCCC)CC)C)=C2S1)C)CC(CC)CCCC
344,6.3,10.7,0.57,0.98,5.9,3.83,2.07,O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=C(C6=CC7=C(C8C(C7(C9C%10C=CC=C9)C%11=C%10C=CC=C%11)C=C(C%12=C(C%13=C%14C=CC%15C%13C(C(N(C(CCCCC)CCCCC)C%15=O)=O)=C%12)C%16=CC=C%17C%18=C%16C%14=CC=C%18C(N(C(CCCCC)CCCCC)C%17=O)=O)C=C8)C=C6)C=C%19C%20=C5C4=CC=C%20C(N(C(CCCCC)CCCCC)C%19=O)=O,1718.33,5.36,3.71,1.65,CC1=C(C=C(S1)C2=C(C(F)=C(C3=NSN=C32)C4=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(S4)C5=CC=C(S5)C6=CC=C(S6)C)F)CC(CCCCCCCCCCCC)CCCCCCCCCC
345,5.4,11.4,0.53,0.84,5.99,3.96,2.03,O=C(N(C(CCCCCC)CCCCCC)C1=O)C2=CC3=C(C4=CC5=C6C7=C4C8=CC=C(C(N9C(CCCCCC)CCCCCC)=O)C%10=C8C(C7=CC=C6C(N(C(CCCCCC)CCCCCC)C5=O)=O)=CC=C%10C9=O)C=C%11C=C%12C%13=C%14C%11=C3C(C2=C1C=C%15)=C%15C%14=CC=C%13C(N(C(CCCCCC)CCCCCC)C%12=O)=O,1532.12,5.36,3.71,1.65,CC1=C(C=C(S1)C2=C(C(F)=C(C3=NSN=C32)C4=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(S4)C5=CC=C(S5)C6=CC=C(S6)C)F)CC(CCCCCCCCCCCC)CCCCCCCCCC
346,3,7.4,0.39,1,5.9,3.83,2.07,O=C(N(C(CCCCC)CCCCC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=C(C6=CC7=C(C8C(C7(C9C%10C=CC=C9)C%11=C%10C=CC=C%11)C=C(C%12=C(C%13=C%14C=CC%15C%13C(C(N(C(CCCCC)CCCCC)C%15=O)=O)=C%12)C%16=CC=C%17C%18=C%16C%14=CC=C%18C(N(C(CCCCC)CCCCC)C%17=O)=O)C=C8)C=C6)C=C%19C%20=C5C4=CC=C%20C(N(C(CCCCC)CCCCC)C%19=O)=O,1718.33,5.39,3.79,1.6,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1
347,6.31,13.55,0.48,0.97,5.45,3.88,1.57,CCCCCCC(C=C1)=CC=C1C(C2=C3SC(C4=C(CC(CC)CCCC)C=C(/C=C5C(C(C=CC=C6)=C6C\5=C(C#N)\C#N)=O)S4)=C2)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=C%10SC(C(S%11)=C(C=C%11/C=C%12/C(C%13=C(C%12=O)C=CC=C%13)=C(C#N)/C#N)CC(CC)CCCC)=C9)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%10=C8,1704.46,5.39,3.79,1.6,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1
348,8.58,15.2,0.62,0.91,5.45,3.79,1.66,CCCCCCC(C=C1)=CC=C1C(C2=C3[Se]C(C4=C(CC(CC)CCCC)C(C=C5C(C(C=CC=C6)=C6/C5=C(C#N)/C#N)=O)=CS4)=C2)(C7=CC=C(CCCCCC)C=C7)C8=C3C=C(C(C9=C%10[Se]C(C%11=C(C(/C=C%12\C(C%13=C(C%12=O)C=CC=C%13)=C(C#N)\C#N)=CS%11)CC(CC)CCCC)=C9)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%10=C8,1798.26,5.29,3.3,1.99,CC1=CC(C(S1)=C2C3=CC=C(CC(CCCCCC)CCCCCCCC)S3)=C(C4=C2C=C(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=NN(CCCCCCCC)N=C68)S5)S4)C9=CC=C(CC(CCCCCC)CCCCCCCC)S9
349,11.9,18.9,0.63,1,5.58,3.96,1.62,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC(C)=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC(C)=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1456.01,5.39,3.37,2.02,CC1=CC(C(S1)=C2C3=CC=C(SCCCCCCCC)S3)=C(C4=C2C=C(C5=CC(C(OCC(CC)CCCC)=O)=C(C6=CC=C(C7=C(C(OCC(CC)CCCC)=O)C=C(C)S7)S6)S5)S4)C8=CC=C(SCCCCCCCC)S8
350,0.01,0.08,0.26,0.56,5.58,3.96,1.62,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC(C)=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC(C)=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1456.01,5.63,3.63,2,CC1=CC(C(S1)=C2C3=CC=C(SCCCCCCCC)S3)=C(C4=C2C=C(C5=CC(C(OCC(CC)CCCC)=O)=C(C6=C(C(OCC(CC)CCCC)=O)C=C(C)S6)S5)S4)C7=CC=C(SCCCCCCCC)S7
351,9.56,16.35,0.671,0.87,5.32,3.85,1.47,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(C4(C5=CC=C(CCCCCC)C=C5)C6=CC=C(CCCCCC)C=C6)=C(S3)C7=C4C8=C(OCC(CC)CCCC)C(SC9=C%10C(C%11=CC=C(CCCCCC)C=C%11)(C%12=CC=C(CCCCCC)C=C%12)C%13=C9SC(/C=C%14C(C(C=CC=C%15)=C%15C\%14=C(C#N)\C#N)=O)=C%13)=C%10C(OCC(CC)CCCCC)=C8S7,1698.41,5.22,3.21,2.01,CC1=CC(C(S1)=C2C3=CC=C(SCCCCCCCCCCCC)S3)=C(C4=C2C=C(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C8=NN(CC(CCCCCC)CCCCCCCC)N=C68)S5)S4)C9=CC=C(SCCCCCCCCCCCC)S9
352,10.46,17.75,0.657,0.9,5.32,3.85,1.47,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(C4(C5=CC=C(CCCCCC)C=C5)C6=CC=C(CCCCCC)C=C6)=C(S3)C7=C4C8=C(OCC(CC)CCCC)C(SC9=C%10C(C%11=CC=C(CCCCCC)C=C%11)(C%12=CC=C(CCCCCC)C=C%12)C%13=C9SC(/C=C%14C(C(C=CC=C%15)=C%15C\%14=C(C#N)\C#N)=O)=C%13)=C%10C(OCC(CC)CCCCC)=C8S7,1698.41,5.25,3.18,2.07,CCC[Si](CCC)(C1=CC=C(C(C2=C3C=C(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C(C)S6)C7=NN(CC(CCCCCC)CCCCCCCC)N=C57)S4)S2)=C8C(SC(C)=C8)=C3C9=CC=C([Si](CCC)(CCC)CCC)S9)S1)CCC
353,11.02,16,0.753,0.915,5.68,3.92,1.76,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC(C)=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C=C(/C=C%13C(C(C=C(C)C=C%14)=C%14C\%13=C(C#N)/C#N)=O)S%12,1399.93,5.21,3.41,1.8,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6
354,10.51,17.44,0.721,0.836,5.64,3.98,1.66,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C9=CSC=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C%14=CSC=C%14C\%13=C(C#N)\C#N)=O)=C%15)=C%15S%12,1440,5.21,3.41,1.8,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6
355,12.55,20.81,0.709,0.85,5.59,3.89,1.7,CCCCCCC(C=C1)=CC=C1C(C2=C3SC(/C=C4C(C5=C(C)SC=C5C\4=C(C#N)\C#N)=O)=C2)(C6=CC=C(CCCCCC)C=C6)C7=C3C=C(C(C8=C9SC%10=C8SC%11=C%10SC(/C=C%12C(C%13=C(C)SC=C%13C\%12=C(C#N)\C#N)=O)=C%11)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C9=C7,1468.05,5.33,3.53,1.8,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6
356,11.53,17.53,0.731,0.9,5.42,3.94,1.48,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6N(CCCCCCCC)C8=C7SC(/C=C9C(C(C=C(F)C(F)=C%10)=C%10C\9=C(C#N)\C#N)=O)=C8)(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C=C4C%13=C2C(N(CCCCCCCC)C%14=C%15SC(/C=C%16/C(C%17=C(C%16=O)C=C(F)C(F)=C%17)=C(C#N)\C#N)=C%14)=C%15S%13,1802.42,5.33,3.53,1.8,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6
357,5.04,10.14,0.58,0.86,5.8,3.8,2,O=C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C1=O)C2=C(C1=CC=C3C4=NC5=C(C6=CC=C(C(C7=N8)=C9N=C(C%10=CC=C%11C(N(C%12=O)CC(CCCCCCCCCCCC)CCCCCCCCCC)=O)C(C%13=C%10C%11=C%12C=C%13)=NC9=C(C7=NC(C%14=C%15C%16=C%17C=C%14)=C8C%15=CC=C%16C(N(C%17=O)CC(CCCCCCCCCCCC)CCCCCCCCCC)=O)C%18=CC=CC=C%18)S6)C%19=NC%20=C%21C%22=C%23C(C%24=CC=C%23%20)=C(C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C%24=O)=O)C=C%22)C3=C(C4=NC5=C(C%25=CC=CC=C%25)C%19=N%21)C=C2,2715.91,5.1,3.3,1.8,CC1=CC(CC(CC)CCCC)=C(C2=NC(SC(C3=C(CC(CCCC)CC)C=C(C4=CC([Si](CC(CC)CCCC)(CC(CCCC)CC)C5=C6SC(C)=C5)=C6S4)S3)=N7)=C7S2)S1
358,1.44,3.16,0.49,0.94,5.8,3.6,2.2,CCCCCCCCCCC(CN(C1=O)C(C2=CC=C3C4=C(C5=C3C2=C1C=C5)N=C6C(C7=CC=CC=C7)=C8N=C(C9=C%10C%11=C%12C=C9)C(C%10=CC=C%11C(N(C%12=O)CC(CCCCCCCCCCCC)CCCCCCCCCC)=O)=NC8=C(C%13=CC=CC=C%13)C6=N4)=O)CCCCCCCCCCCC,1394,5.1,3.3,1.8,CC1=CC(CC(CC)CCCC)=C(C2=NC(SC(C3=C(CC(CCCC)CC)C=C(C4=CC([Si](CC(CC)CCCC)(CC(CCCC)CC)C5=C6SC(C)=C5)=C6S4)S3)=N7)=C7S2)S1
359,0.65,1.51,0.393,1.076,5.9,3.83,2.07,O=C(N(CCCCCCCC)C1=O)C2=C(CCCCCC)C=C(C3=C4C=C(CCCCCC)C1C32)C5=CC(CCCCCC)=C6C7=C5C4=CC(CCCCCC)=C7C(N(CCCCCCCC)C6=O)=O,953.45,5.58,3.77,1.81,O=C(N(CC(CCCC)CCCCCC)C(C1=C2SC(C3=C(CCCCCCCCCCCC)C=C(C4=CC=C(C5=CC(CCCCCCCCCCCC)=C(C)S5)S4)S3)=C1)=O)C6=C2SC(C)=C6
360,1.2,2.44,0.485,1.016,5.92,3.91,2.01,O=C(N(CCCCCCCC)C1=O)C2=C(CCC3=CC=CC=C3)C=C(C4=C5C=C(CCC6=CC=CC=C6)C1C42)C7=CC(CCC8=CC=CC=C8)=C9C%10=C7C5=CC(CCC%11=CC=CC=C%11)=C%10C(N(CCCCCCCC)C9=O)=O,1033.41,5.58,3.77,1.81,O=C(N(CC(CCCC)CCCCCC)C(C1=C2SC(C3=C(CCCCCCCCCCCC)C=C(C4=CC=C(C5=CC(CCCCCCCCCCCC)=C(C)S5)S4)S3)=C1)=O)C6=C2SC(C)=C6
