ID,PCE_max(%),Jsc(mA/cm2),FF,Voc(V),(-)HOMO_acceptor(eV),(-)LUMO_acceptor(eV),Eg_acceptor(eV),acceptor(SMILES),M_acceptor(g/mol),(-)L2HOMO_donor(eV),(-)LUMO_donor(eV),Eg_donor(eV),donor(SMILES)
11,0.4,0.9,0.46,0.96,5.9,3.8,2.1,ClC1=CC2=C(C3=NC4=[N+]5C(C6=C4C=C(C(Cl)=C6)Cl)=NC7=C8C(C=C(C(Cl)=C8)Cl)=C9N7[B-]5(N3C2=N9)OC%10=CC=CC=C%10)C=C1Cl,694.97,5.6,3.77,1.83,CC1=CC2=C(C(C3=CC=C(CC(CC)CCCC)S3)=C4C=C(SC4=C2C5=CC=C(CC(CC)CCCC)S5)C6=C7C(C(N(C7=O)CCCCCCCC)=O)=C(S6)C)S1
12,1.5,4.2,0.57,0.639,5.9,3.8,2.1,ClC1=CC2=C(C3=NC4=[N+]5C(C6=C4C=C(C(Cl)=C6)Cl)=NC7=C8C(C=C(C(Cl)=C8)Cl)=C9N7[B-]5(N3C2=N9)OC%10=CC=CC=C%10)C=C1Cl,694.97,5.2,3.3,1.91,CC1=CC(CCCCCC)=C(C)S1
13,1.2,3.4,0.39,0.924,5.9,3.8,2.1,ClC1=CC2=C(C3=NC4=[N+]5C(C6=C4C=C(C(Cl)=C6)Cl)=NC7=C8C(C=C(C(Cl)=C8)Cl)=C9N7[B-]5(N3C2=N9)OC%10=CC=CC=C%10)C=C1Cl,694.97,5.2,3.44,1.76,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6
14,0.5,1.5,0.33,0.96,5.9,3.8,2.1,ClC1=CC2=C(C3=NC4=[N+]5C(C6=C4C=C(C(Cl)=C6)Cl)=NC7=C8C(C=C(C(Cl)=C8)Cl)=C9N7[B-]5(N3C2=N9)OC%10=CC=CC=C%10)C=C1Cl,694.97,5.6,3.75,1.85,CC1=CC(N(C(CCCCCCCC)CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=NSN=C57)S4)=C2)=C3C=C1
15,1,3.7,0.35,0.801,5.9,3.8,2.1,ClC1=CC2=C(C3=NC4=[N+]5C(C6=C4C=C(C(Cl)=C6)Cl)=NC7=C8C(C=C(C(Cl)=C8)Cl)=C9N7[B-]5(N3C2=N9)OC%10=CC=CC=C%10)C=C1Cl,694.97,4.9,3.42,1.48,CC1=CC([Si](CC(CCCC)CC)(CC(CC)CCCC)C2=C3SC(C4=CC=C(C)C5=NSN=C45)=C2)=C3S1
16,9.29,13.48,0.65,1.06,5.58,3.83,1.75,O=C(C1=C(N(CCCCCCCCCC)C(C1C2C3=CC=C(S3)C(/C(C4=CC=C(C=C4)N5C(C=CC=C6)=C6C7=C5C=CC=C7)=C(C#N)/C#N)=C(C#N)\C#N)=O)C8=CC=CS8)N2CCCCCCCCCC,976.32,5.45,3.69,1.76,CC1=C(C#CC2=CC(CC(CCCC)CC)=C(S2)C)C(C)=[N+]3[B-](F)(F)N4C(C)=C(C#CC)C(C)=C4C(C5=C(C)C=C(C)C=C5C)C13
17,5.3,12.48,0.431,0.98,5.3,3.7,1.6,CCCCCCCCN(C1=O)C(C2=CC=C(C3=C(C4=CC=C(C5=O)C6C4=C7C8=CC6C(N5C(CC)CC)=O)C(C7=C(N8CCCCCC)C=C9C(N(C(CC)CC)C%10=O)=O)=C9C%10=C3)S2)=C%11C1=C(C%12=CC=C(C%13=C(C%14=C%15C%16=CC%17C%14C(C(N(C(CC)CC)C%17=O)=O)=C%13)C%18=CC=C%19C%20=C%18C%15=C(N%16CCCCCC)C=C%20C(N(C(CC)CC)C%19=O)=O)S%12)N(CCCCCCCC)C%11=O,1780.35,5.22,3.64,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1
18,1.1,3.78,0.313,0.95,5.3,3.7,1.6,CCCCCCCCN(C1=O)C(C2=CC=C(C3=C(C4=CC=C(C5=O)C6C4=C7C8=CC6C(N5C(CC)CC)=O)C(C7=C(N8CCCCCC)C=C9C(N(C(CC)CC)C%10=O)=O)=C9C%10=C3)S2)=C%11C1=C(C%12=CC=C(C(C=C%13C(N(C(CC)CC)C%14=O)=O)=C%15C%16=C%13C%14=CC=C%16C(C=CC=C%17)=C%17S%15)S%12)N(CCCCCCCC)C%11=O,1524.02,5.22,3.64,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1
19,0.2,0.7,0.239,1.08,5.2,3.3,1.9,CCCCCCCCN(C1=O)C(C2=CC=C(C(C=C3C(N(C(CC)CC)C4=O)=O)=C5C6=C3C4=CC=C6C(C=CC=C7)=C7S5)S2)=C8C1=C(C9=CC=C(C(C=C%10C(N(C(CC)CC)C%11=O)=O)=C%12C%13=C%10C%11=CC=C%13C(C=CC=C%14)=C%14S%12)S9)N(CCCCCCCC)C8=O,1267.69,5.22,3.64,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1
20,4.1,8.46,0.552,0.84,5.64,3.84,1.8,O=C(N(CC(CC)CCCCC)C1=O)C2=CC(C(S3)=CC=C3C4=C(C5=C6C=CC7C5C(C(N(CC(CC)CCCCC)C7=O)=O)=C4)C8=CC=C9C%10=C8C6=C(OCCOC)C=C%10C(N(CC(CC)CCCC)C9=O)=O)=C(C%11=C%12C=CC1C%112)C%13=CC=C%14C%15=C%13C%12=C(OCCOC)C=C%15C(N(CC(CC)CCCC)C%14=O)=O,1489.92,5.02,3.39,1.63,CC1=C(C(F)=C(C(OCC(CC)CCCC)=O)S2)C2=C(C3=CC4=C(OCC(CCCC)CC)C(SC(C)=C5)=C5C(OCC(CCCC)CC)=C4S3)S1
21,5.87,11.14,0.583,0.876,5.64,3.84,1.8,O=C(N(CC(CC)CCCCC)C1=O)C2=CC(C(S3)=CC=C3C4=C(C5=C6C=CC7C5C(C(N(CC(CC)CCCCC)C7=O)=O)=C4)C8=CC=C9C%10=C8C6=C(OCCOC)C=C%10C(N(CC(CC)CCCC)C9=O)=O)=C(C%11=C%12C=CC1C%112)C%13=CC=C%14C%15=C%13C%12=C(OCCOC)C=C%15C(N(CC(CC)CCCC)C%14=O)=O,1489.92,5.17,3.59,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1
22,7.24,13.23,0.594,0.887,5.64,3.84,1.8,O=C(N(CC(CC)CCCCC)C1=O)C2=CC(C(S3)=CC=C3C4=C(C5=C6C=CC7C5C(C(N(CC(CC)CCCCC)C7=O)=O)=C4)C8=CC=C9C%10=C8C6=C(OCCOC)C=C%10C(N(CC(CC)CCCC)C9=O)=O)=C(C%11=C%12C=CC1C%112)C%13=CC=C%14C%15=C%13C%12=C(OCCOC)C=C%15C(N(CC(CC)CCCC)C%14=O)=O,1489.92,5.26,3.71,1.55,O=C(C1=C(C2=C(SC(C3=CC4=C(S3)C(C5=CC=C(S5)SCCCCCCCC)=C6C=C(SC6=C4C7=CC=C(S7)SCCCCCCCC)C)=C2S1)C)F)OCC(CCCC)CC
23,3.55,7.57,0.559,0.84,5.9,3.8,2.1,O=C(N(C(CC)CC)C1=O)C2=CC=C(C3=C4C=CC1C32)C5=CC=C6C7=C5C4=CC=C7C(N(C(CC)CC)C6=O)=O,532.64,5.02,3.39,1.63,CC1=C(C(F)=C(C(OCC(CC)CCCC)=O)S2)C2=C(C3=CC4=C(OCC(CCCC)CC)C(SC(C)=C5)=C5C(OCC(CCCC)CC)=C4S3)S1
24,3.63,8.51,0.47,0.91,5.81,3.65,2.16,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC(/C=C(C#N)\C#N)=C6)(C7=CC=C(CCCCCC)C=C7)C8=CC=C(CCCCCC)C=C8)C=C4C9=C2C=C(/C=C(C#N)/C#N)S9,1059.53,5.17,3.59,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1
